"code","name_en","name_fr"
"104","Nordic Dev.Fund","Fonds du dév. nordique"
"807","UNEP","PNUE"
"811","GEF","FEM"
"812","Montreal Protocol","Protocole de Montréal"
"901","IBRD","BIRD"
"903","IFC","SFI"
"905","IDA","IDA"
"906","CarDB","Caribank"
"907","IMF","FMI"
"909","IDB","BID"
"912","IDB Sp.Fund","IDB Sp.Fund"
"913","AfDB","BAfD"
"914","AfDF","FAfD"
"915","AsDB","BAsD"
"916","AsDB Special Funds","BAsD fonds spéciaux"
"921","Arab Fund (AFESD)","Fonds arabe (FADES)"
"923","UNPBF","FCP-ONU"
"928","WHO","OMS"
"944","IAEA","AIEA"
"948","UNECE","CEE-ONU"
"951","OFID","FODI"
"953","BADEA","BADEA"
"958","IMF (Concessional Trust Funds)","FMI (Fonds fiduciaires concessionnels)"
"959","UNDP","PNUD"
"960","UNTA","ATNU"
"963","UNICEF","UNICEF"
"964","UNRWA","UNRWA"
"966","WFP","PAM"
"967","UNHCR","FNUAP"
"971","UNAIDS","UNAIDS"
"974","UNFPA","UNFPA"
"976","Isl.Dev Bank","Banque de Dev.Isl."
"978","OSCE","OSCE"
"988","IFAD","FIDA"
"990","EBRD","BERD"
"992","UN Agencies","Agences des Nations Unies"
"1011","Climate Investment Funds [CIF]","Fonds d'investissement climatique [FIC]"
"1311","GAVI","GAVI"
"1312","Global Fund","Fonds mondial"
"1313","Global Green Growth Institute  (GGGI)","Global Green Growth Institute  (GGGI)"
