"code","name_en","name_fr"
"Fonds du dév. nordique","","26"
"PNUE","","30"
"Fonds pour l'environnement mondial","","45"
"Protocole de Montréal","","55"
"Banque internationale pour la reconstruction et le développement","","62"
"Agence multilatérale de garantie des investissements","","70"
"Société financière international","","72"
"Association internationale de développement","","77"
"Banque de développement des Caraïbes","","83"
"Fond monétaire international","","87"
"Banque Interaméricaine de développement","","130"
"Banque centraméricaine d'intégration économique","","133"
"Banque Africaine de développement","","358"
"Fonds Africaine de développement","","543"
"Banque Asiatique de développement","","546"
"Fonds arabe (FADES)","","552"
"Fonds de consolidation de la paix-ONU","","561"
"Conseil de l'Europe","","566"
"Organisation mondiale de la santé","","576"
"Organisation pour l'alimentation et l'agriculture","","611"
"Organisation internationale du Travail","","613"
"Agence internationale de l'énergie atomique","","732"
"CEE-ONU","","764"
"Fonds OPEP pour le développement international","","765"
"OAPEC","",""
"Banque arabe pour le développement économique en Afrique","",""
"Fonds spécial arabe d'aide à l'Afrique","",""
"IMF Trust Fund","",""
"FMI (Fonds fiduciaires concessionnels)","",""
"PNUD","",""
"ATNU","",""
"Conférence des Nations Unies sur le commerce et le développement","",""
"UNICEF","",""
"UNRWA","",""
"PAM","",""
"HCR","",""
"UNAIDS","",""
"FNUAP","",""
"Banque de développement islamique","",""
"OSCE","",""
"Fond monétaire islamique","",""
"Fonds arabe pour l'assistance technique aux pays africains et arabes","",""
"Banque de développement de la mer Noire","",""
"GODE","",""
"Autres Agences Arabes","",""
"FIDA","",""
"Banque européenne pour la reconstruction et le développement","",""
"AGENCES DE L'ONU","",""
"Partenariat mondial pour l'Éducation","",""
"Fonds d'investissement climatique","",""
"Fonds d'adaptation","",""
"Banque de développement du Conseil de l'Europe","",""
"Banque de développement de l'Amérique latine","",""
"Fonds vert pour le climat","",""
"Credit Guarantee and Investment Facility","",""
"Fonds mondial de l'efficacité énergétique et des énergies renouvelables","",""
"BID Invest","",""
"Fonds central d'intervention pour les urgences humanitaires","",""
"Organisation mondiale du tourisme","",""
"Banque asiatique d'investissement dans les infrastructures","",""
"Centre d'excellence en finance","",""
"Banque internationale d'investissement","",""
"Institut des Nations unies pour la recherche sur le désarmement","",""
"UN Capital Development Fund","",""
"North American Development Bank","",""
"ONU Femmes","",""
"COVID-19 Response and Recovery Multi-Partner Trust Fund","",""
"Fonds conjoint des objectifs de développement durable","",""
"Commission internationale pour les personnes disparues","",""
"OMS-Plan stratégique de préparation et de réponse","",""
"Centre international de génie génétique et de biotechnologie","",""
"Organisation asiatique de coopération forestière","",""
"Organisation mondiale de la santé animale","",""
"CGIAR","",""
"Alliance mondiale pour les vaccins et la vaccination","",""
"Fonds mondial","",""
"Institut mondial de la croissance verte","",""
"Centre du commerce international de l'OMC","",""
"Organisation mondiale du commerce","",""
"ONUDI","",""
