"code","name_en","name_fr","income_group","geography"
"55","Turkey","Turquie","UMICs","Europe"
"57","Kosovo","Kosovo","LMICs","Europe"
"63","Serbia","Serbie","UMICs","Europe"
"64","Bosnia and Herzegovina","Bosnie-Herzégovine","UMICs","Europe"
"65","Montenegro","Monténégro","UMICs","Europe"
"66","Former Yugoslav Republic of Macedonia","Ex-République yougoslave de Macédoine","UMICs","Europe"
"71","Albania","Albanie","UMICs","Europe"
"85","Ukraine","Ukraine","LMICs","Europe"
"86","Belarus","Bélarus","UMICs","Europe"
"88","States Ex-Yugoslavia unspecified","Etats ex-Yougoslavie non spécifié","","Europe"
"89","Europe, regional","Europe, régional","","Europe"
"93","Moldova","Moldova","LMICs","Europe"
"130","Algeria","Algérie","UMICs","Africa (North of Sahara)"
"133","Libya","Libye","UMICs","Africa (North of Sahara)"
"136","Morocco","Maroc","LMICs","Africa (North of Sahara)"
"139","Tunisia","Tunisie","UMICs","Africa (North of Sahara)"
"142","Egypt","Egypte","LMICs","Africa (North of Sahara)"
"189","North of Sahara, regional","Nord du Sahara, régional","","Africa (North of Sahara)"
"218","South Africa","Afrique du Sud","UMICs","Africa (South of Sahara)"
"225","Angola","Angola","LDCs","Africa (South of Sahara)"
"227","Botswana","Botswana","UMICs","Africa (South of Sahara)"
"228","Burundi","Burundi","LDCs","Africa (South of Sahara)"
"229","Cameroon","Cameroun","LMICs","Africa (South of Sahara)"
"230","Cabo Verde","Cabo Verde","LMICs","Africa (South of Sahara)"
"231","Central African Republic","République centrafricaine","LDCs","Africa (South of Sahara)"
"232","Chad","Tchad","LDCs","Africa (South of Sahara)"
"233","Comoros","Comores","LDCs","Africa (South of Sahara)"
"234","Congo","Congo","LMICs","Africa (South of Sahara)"
"235","Democratic Republic of the Congo","République démocratique du Congo","LDCs","Africa (South of Sahara)"
"236","Benin","Bénin","LDCs","Africa (South of Sahara)"
"238","Ethiopia","Ethiopie","LDCs","Africa (South of Sahara)"
"239","Gabon","Gabon","UMICs","Africa (South of Sahara)"
"240","Gambia","Gambie","LDCs","Africa (South of Sahara)"
"241","Ghana","Ghana","LMICs","Africa (South of Sahara)"
"243","Guinea","Guinée","LDCs","Africa (South of Sahara)"
"244","Guinea-Bissau","Guinée-Bissau","LDCs","Africa (South of Sahara)"
"245","Equatorial Guinea","Guinée équatoriale","LDCs","Africa (South of Sahara)"
"247","Côte d'Ivoire","Côte d'Ivoire","LMICs","Africa (South of Sahara)"
"248","Kenya","Kenya","Other LICs","Africa (South of Sahara)"
"249","Lesotho","Lesotho","LDCs","Africa (South of Sahara)"
"251","Liberia","Libéria","LDCs","Africa (South of Sahara)"
"252","Madagascar","Madagascar","LDCs","Africa (South of Sahara)"
"253","Malawi","Malawi","LDCs","Africa (South of Sahara)"
"255","Mali","Mali","LDCs","Africa (South of Sahara)"
"256","Mauritania","Mauritanie","LDCs","Africa (South of Sahara)"
"257","Mauritius","Maurice","UMICs","Africa (South of Sahara)"
"259","Mozambique","Mozambique","LDCs","Africa (South of Sahara)"
"260","Niger","Niger","LDCs","Africa (South of Sahara)"
"261","Nigeria","Nigéria","LMICs","Africa (South of Sahara)"
"265","Zimbabwe","Zimbabwe","Other LICs","Africa (South of Sahara)"
"266","Rwanda","Rwanda","LDCs","Africa (South of Sahara)"
"268","Sao Tome and Principe","Sao Tomé-et-Principe","LDCs","Africa (South of Sahara)"
"269","Senegal","Sénégal","LDCs","Africa (South of Sahara)"
"270","Seychelles","Seychelles","UMICs","Africa (South of Sahara)"
"271","Eritrea","Erythrée","LDCs","Africa (South of Sahara)"
"272","Sierra Leone","Sierra Leone","LDCs","Africa (South of Sahara)"
"273","Somalia","Somalie","LDCs","Africa (South of Sahara)"
